iter	MultiClass
204	0.1820838915
205	0.1812258263
206	0.1801695557
207	0.1796293565
208	0.1789222247
209	0.1779447517
210	0.1772076763
211	0.176059552
212	0.1754870993
213	0.1743602107
214	0.173163301
215	0.172604631
216	0.1721126531
217	0.1710315732
218	0.1703282729
219	0.1695834199
220	0.1687618596
221	0.1678972111
222	0.1673290895
223	0.1661105282
224	0.1655537748
225	0.1649284136
226	0.1643242633
227	0.1632507491
228	0.1624861419
229	0.1618706058
230	0.1612135252
231	0.1606668746
232	0.1601789808
233	0.159588254
234	0.1588385802
235	0.1580533271
236	0.1575979269
237	0.1572183886
238	0.1565220089
239	0.1560040492
240	0.1551014511
241	0.1546817756
242	0.1537810721
243	0.1534569839
244	0.1526319128
245	0.1523646523
246	0.1519143726
247	0.1512087093
248	0.1504948646
249	0.1499222142
250	0.1492022447
251	0.148519702
252	0.1479345812
253	0.1474542583
254	0.1471445844
255	0.1464385721
256	0.1455846149
257	0.1450781544
258	0.1445512962
259	0.1438894206
260	0.1431279611
261	0.1427063792
262	0.1422316302
263	0.141666541
264	0.1413116041
265	0.140744806
266	0.1402923532
267	0.1397623939
268	0.1392177418
269	0.1385687526
270	0.1379975925
271	0.1374659473
272	0.1367173742
273	0.1363839686
274	0.1359636093
275	0.1354799377
276	0.1349264259
277	0.1343959981
278	0.1338923853
279	0.1335381349
280	0.1331291296
281	0.1325082806
282	0.1318932991
283	0.131608289
284	0.1308942199
285	0.1303988252
286	0.1298783112
287	0.1291914259
288	0.1287709855
289	0.1282158256
290	0.1279737764
291	0.1277230732
292	0.1272469588
293	0.1268224244
294	0.1261528819
295	0.1256742543
296	0.1249399809
297	0.1243796343
298	0.1236204753
299	0.1232277243
300	0.1226053496
301	0.1222500351
302	0.1218337648
303	0.1215396542
304	0.1211652396
305	0.1206204254
306	0.1201781864
307	0.1198070601
308	0.1192023843
309	0.1186887515
310	0.1183990171
311	0.1178090364
312	0.1171223933
313	0.1167785912
314	0.116300802
315	0.1160895524
316	0.115812359
317	0.1153373436
318	0.1148785006
319	0.1145470081
320	0.1141389855
321	0.1139301486
322	0.1134513071
323	0.1130686074
324	0.1125781982
325	0.1122908332
326	0.1119438119
327	0.1116324038
328	0.1112538283
329	0.1108679517
330	0.1104522156
331	0.1101005394
332	0.1097961329
333	0.1094659462
334	0.109163211
335	0.1087471078
336	0.1084105763
337	0.1081372622
338	0.1075867922
339	0.1072615163
340	0.1068998871
341	0.1065673276
342	0.1062078118
343	0.1058979716
344	0.1054943637
345	0.1052314847
346	0.1047649932
347	0.1045223596
348	0.1041779564
349	0.1039300796
350	0.1034953976
351	0.1032316814
352	0.1029068365
353	0.1024768974
354	0.1022250579
355	0.1019915956
356	0.1017097639
357	0.1014968356
358	0.1010995683
359	0.1006766003
360	0.1003780747
361	0.100109708
362	0.09968678248
363	0.09933498343
364	0.09906645359
365	0.09877431087
366	0.09847346562
367	0.0982655562
368	0.09788406843
369	0.09757083931
370	0.0971457241
371	0.09682899071
372	0.09666929613
373	0.09641833687
374	0.09621933166
375	0.0960431644
376	0.0957517372
377	0.09526569518
378	0.09499538809
379	0.09462604781
380	0.09441383896
381	0.09411217
382	0.09373071971
383	0.09343776587
384	0.09317512001
385	0.09287244155
386	0.09252636554
387	0.09219494271
388	0.09180614153
389	0.0915137304
390	0.0912236503
391	0.09095530246
392	0.09081045423
393	0.09059113231
394	0.0904579965
395	0.09027872873
396	0.08986045001
397	0.08957563962
398	0.08925047126
399	0.08888739241
400	0.08866885933
401	0.08831322522
402	0.08814977196
403	0.08788331629
404	0.08759236445
405	0.08735422358
406	0.08713374721
407	0.08689078267
408	0.08666435667
409	0.0864029958
410	0.08622121624
411	0.08591015516
412	0.08576699885
413	0.08549853859
414	0.08526712775
415	0.08497267568
416	0.08482377135
417	0.08470381664
418	0.08447879308
419	0.0843652619
420	0.08408405911
421	0.08387979405
422	0.08359230711
423	0.08340874409
424	0.08320636909
425	0.08297789835
426	0.0826680847
427	0.08241515251
428	0.08213519221
429	0.08188571705
430	0.08165522173
431	0.08146154935
432	0.08123477341
433	0.08103916902
434	0.08091113443
435	0.08072580429
436	0.08045569586
437	0.08023010639
438	0.07996361483
439	0.07978920834
440	0.07957387023
441	0.07938553553
442	0.07917537848
443	0.0789352537
444	0.07877536507
445	0.07858803381
446	0.07841251705
447	0.07830325664
448	0.07805243659
449	0.07774104607
450	0.07758039137
451	0.07726309573
452	0.07705374637
453	0.07680163537
454	0.07653571712
455	0.07634216056
456	0.07618730358
457	0.07599720242
458	0.07574180777
459	0.07546917612
460	0.075290936
461	0.07498883784
462	0.07477055429
463	0.07465865786
464	0.074396461
465	0.07415053347
466	0.07393788002
467	0.07384592798
468	0.07370797178
469	0.07345074062
470	0.07332307729
471	0.07315022365
472	0.07299215298
473	0.07277272073
474	0.07265127605
475	0.07246585496
476	0.07225977025
477	0.07200946519
478	0.07179237536
479	0.07162423787
480	0.07151422047
481	0.07133144696
482	0.07116375044
483	0.07100911543
484	0.07078295033
485	0.07064378355
486	0.07037220678
487	0.07020966047
488	0.07005792906
489	0.06987345577
490	0.06972022715
491	0.06953313177
492	0.06942957091
493	0.06920768269
494	0.06908670192
495	0.06892286145
496	0.06880003313
497	0.06867971359
498	0.06846184359
499	0.06826373759
500	0.06807089243
501	0.06794090723
502	0.06783244139
503	0.0677104832
504	0.06758817508
505	0.06746906243
506	0.06738111319
507	0.06721304965
508	0.06707470543
509	0.06694531806
510	0.06685262127
511	0.06668924761
512	0.06653549371
513	0.06633709398
514	0.06622583717
515	0.06605928069
516	0.06591086095
517	0.06577773871
518	0.06567971956
519	0.06551896355
520	0.06538018155
521	0.06523576123
522	0.06505073831
523	0.06491426833
524	0.06479635665
525	0.06471774516
526	0.06457566118
527	0.06449462717
528	0.06429835886
529	0.06418469838
530	0.06399240873
531	0.06386306954
532	0.0636695265
533	0.06358752239
534	0.06342406618
535	0.0632537897
536	0.06307985756
537	0.06292722217
538	0.06284142253
539	0.06274291006
540	0.06259756443
541	0.06242431975
542	0.06222587585
543	0.06207181548
544	0.06190921169
545	0.06178340148
546	0.06163074631
547	0.0614714515
548	0.06137943572
549	0.06126997365
550	0.06118012585
551	0.06109926544
552	0.06096331893
553	0.06085537092
554	0.06073343935
555	0.06061073404
556	0.06046136425
557	0.06028664777
558	0.06008655086
559	0.05998429075
560	0.05979652509
561	0.05965242755
562	0.05953422627
563	0.05939559431
564	0.05925195161
565	0.05916114056
566	0.05905493537
567	0.05884771624
568	0.05876843969
569	0.0586533243
570	0.05851821432
571	0.05840641042
572	0.05828074445
573	0.05813365503
574	0.05801132317
575	0.05790946869
576	0.05778826473
577	0.05766918028
578	0.05754716758
579	0.05739407079
580	0.05729997051
581	0.05718536055
582	0.05702071258
583	0.05689940139
584	0.05679229329
585	0.05672483108
586	0.05662984261
587	0.05647824816
588	0.05639295125
589	0.05621744693
590	0.0560598484
591	0.05596650572
592	0.05587186128
593	0.0557233429
594	0.05561776007
595	0.05543509213
596	0.05532629129
597	0.05518988336
598	0.05507603688
599	0.05499965364
600	0.05488530623
601	0.05477565462
602	0.05463107842
603	0.05449144891
604	0.05441966195
605	0.05423962802
606	0.05413366857
607	0.0539761751
608	0.05391200734
609	0.05382127607
610	0.05369699215
611	0.0535782899
612	0.05350694599
613	0.05338030187
614	0.05325354242
615	0.05316999212
616	0.05307829208
617	0.05299126404
618	0.05290708731
619	0.05282456622
620	0.05277221398
621	0.05268400622
622	0.05253422061
623	0.05243420239
624	0.05235284866
625	0.05224861454
626	0.05214081504
627	0.05200536949
628	0.05194918886
629	0.05184810153
630	0.05174389509
631	0.05161398428
632	0.05152794015
633	0.05143987876
634	0.05136128451
635	0.05125920991
636	0.05119460187
637	0.05108653933
638	0.05101156408
639	0.05088886831
640	0.05081395893
641	0.05071506696
642	0.05065100965
643	0.05053217064
644	0.05044517244
645	0.05037016777
646	0.05026929787
647	0.05018811885
648	0.05009843394
649	0.05002418166
650	0.04994629491
651	0.04985269492
652	0.04976579824
653	0.04967928584
654	0.04958473673
655	0.04951987114
656	0.04941467756
657	0.04934916694
658	0.04926351533
659	0.04915835729
660	0.04910327947
661	0.049015855
662	0.04892133572
663	0.04880444387
664	0.04873062964
665	0.04863151249
666	0.04858068098
667	0.04847559797
668	0.04837930067
669	0.04826801539
670	0.04819439124
671	0.04812538198
672	0.04804365943
673	0.04795051158
674	0.04787473881
675	0.0477791751
676	0.0476952702
677	0.04759769427
678	0.04751685208
679	0.0474457127
680	0.04735859945
681	0.0472895193
682	0.04723954875
683	0.04716137789
684	0.04706706568
685	0.04696164133
686	0.0468887122
687	0.04682100871
688	0.04673403069
689	0.04667053996
690	0.04661057331
691	0.04655300325
692	0.04647532621
693	0.04639513725
694	0.0463468116
695	0.0462346956
696	0.04617044989
697	0.04610496976
698	0.04601568466
699	0.04593898541
700	0.0458682212
701	0.045796946
702	0.04571777484
703	0.04565774197
704	0.04558573059
705	0.04551074489
706	0.04543128543
707	0.0453554412
708	0.04526942585
709	0.0451405153
710	0.0450844481
711	0.04503867555
712	0.04497937692
713	0.04492514084
714	0.0448127347
715	0.04471564812
716	0.0446313043
717	0.04457668719
718	0.04449277907
719	0.04441933827
720	0.04433064136
721	0.04427025717
722	0.04416614546
723	0.04410239692
724	0.04402290483
725	0.04396322921
726	0.04388792878
727	0.04383337711
728	0.04376759798
729	0.04366777324
730	0.04361099651
731	0.0435645895
732	0.04350271169
733	0.04342069587
734	0.04335882257
735	0.04331455049
736	0.04320536783
737	0.04314186636
738	0.04306830039
739	0.04298538419
740	0.04292435121
741	0.04285363875
742	0.04280118866
743	0.04273803899
744	0.04266649105
745	0.04259164922
746	0.04254142317
747	0.04248069828
748	0.04237057743
749	0.04229565396
750	0.04225269327
751	0.04216041396
752	0.04208836738
753	0.04203402333
754	0.04194525644
755	0.04191378937
756	0.04182660562
757	0.0417802789
758	0.04171609211
759	0.04165078534
760	0.04157978029
761	0.04153996708
762	0.04148852358
763	0.04143552784
764	0.0413952535
765	0.04131075446
766	0.04123995044
767	0.04117218541
768	0.04109611319
769	0.04105348653
770	0.04097371588
771	0.04093401586
772	0.04087880615
773	0.04083967603
774	0.04078451064
775	0.04071297159
776	0.04066231718
777	0.04060018083
778	0.04055230269
779	0.04051234055
780	0.04043388623
781	0.04040089082
782	0.04033624096
783	0.04024498625
784	0.04020356818
785	0.04015857504
786	0.04008036411
787	0.04003736629
788	0.03998360571
789	0.03991385322
790	0.0398695877
791	0.03980941198
792	0.03974112722
793	0.03968367878
794	0.03963537818
795	0.03956096114
796	0.03948145023
797	0.0394256937
798	0.03937226633
799	0.03930842192
800	0.03926935345
801	0.03922389634
802	0.03917863233
803	0.03913058598
804	0.03907570828
805	0.03903307229
806	0.03899067752
807	0.03892600487
808	0.03887574781
809	0.03882339562
810	0.03874245511
811	0.03866387913
812	0.03863213884
813	0.03859964989
814	0.03855226007
815	0.0384662647
816	0.03840392857
817	0.03832261924
818	0.03824449493
819	0.03820087862
820	0.03810846205
821	0.03801839694
822	0.03795892807
823	0.03789751086
824	0.03780972356
825	0.03777482531
826	0.03771297733
827	0.03767667807
828	0.0376324422
829	0.03758908365
830	0.03753662956
831	0.03749391608
832	0.03743816934
833	0.03740217452
834	0.03736713328
835	0.03732097709
836	0.03725867127
837	0.03720626027
838	0.03716698542
839	0.03712458792
840	0.03707142793
841	0.03702518596
842	0.0369665211
843	0.03689831007
844	0.03686643691
845	0.03683401359
846	0.03677864569
847	0.03672419247
848	0.03666610419
849	0.03662735131
850	0.03657659747
851	0.03653025551
852	0.03645927562
853	0.03641907866
854	0.03635924457
855	0.03630949463
856	0.03624643007
857	0.03619223299
858	0.03611404344
859	0.03607237644
860	0.03602379521
861	0.03598660096
862	0.03593009132
863	0.03590088739
864	0.0358353762
865	0.03578700199
866	0.03573482856
867	0.03569332237
868	0.03565791568
869	0.03561088684
870	0.0355411893
871	0.03548989387
872	0.03542140168
873	0.03538843497
874	0.03534054616
875	0.03527985127
876	0.03524030724
877	0.03517855659
878	0.03513627772
879	0.03509385541
880	0.03504143458
881	0.03499385352
882	0.03496269944
883	0.03491566732
884	0.0348788297
885	0.03485015792
886	0.03481155252
887	0.0347641403
888	0.03473070638
889	0.03467718924
890	0.03464410944
891	0.03459320058
892	0.03452539991
893	0.03448106885
894	0.03443161592
895	0.03439440091
896	0.03435547145
897	0.03431445331
898	0.03425750718
899	0.03421459382
900	0.0341417708
901	0.03409566337
902	0.03404928263
903	0.03400964561
904	0.03396830711
905	0.0339206292
906	0.03385120356
907	0.0338165404
908	0.03375798331
909	0.03371099774
910	0.03367535788
911	0.03363906857
912	0.03360162925
913	0.03355572383
914	0.0335173323
915	0.0334690887
916	0.03341887494
917	0.03337247737
918	0.03333253761
919	0.03328889306
920	0.0332466136
921	0.03320473231
922	0.03316699209
923	0.03313203102
924	0.03309174315
925	0.03303090324
926	0.03298777504
927	0.03294644896
928	0.03290074007
929	0.03284425555
930	0.03280111564
931	0.03277056002
932	0.03274005517
933	0.03267584557
934	0.03263066382
935	0.03260170168
936	0.03255687889
937	0.0325264118
938	0.03247530261
939	0.03242222567
940	0.03238406315
941	0.0323511444
942	0.03229677339
943	0.03224994768
944	0.03221973153
945	0.03218146939
946	0.03214606311
947	0.03209423746
948	0.03205640522
949	0.03201625124
950	0.03197587828
951	0.03195408362
952	0.03191020122
953	0.03187789056
954	0.03184315988
955	0.03180032565
956	0.03177344365
957	0.0317378742
958	0.03169131322
959	0.03165522404
960	0.03161930495
961	0.03157775161
962	0.03153103831
963	0.03149018437
964	0.03145879045
965	0.03139852213
966	0.03135975637
967	0.03131490958
968	0.03126339927
969	0.03123251567
970	0.03118261061
971	0.03112677257
972	0.03108745252
973	0.0310549532
974	0.03101765658
975	0.03096816404
976	0.0309355975
977	0.03090661121
978	0.03086034873
979	0.03082453104
980	0.03078051495
981	0.03075722499
982	0.03071258766
983	0.03068783568
984	0.03065225903
985	0.03061254147
986	0.03057857001
987	0.03054506827
988	0.03050170635
989	0.0304669261
990	0.03042947128
991	0.03038571691
992	0.03035783962
993	0.03031339365
994	0.03028470592
995	0.03025010361
996	0.03023273403
997	0.0301892544
998	0.03015630439
999	0.03010712955
